cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12,884,323,286,339,320,352,320,308,312,349,330,444,234
2011-01,416,91,111,95,132,120,103,100,123,136,152,49,0
2011-02,380,71,71,109,103,93,97,104,94,116,26,0,0
2011-03,452,67,114,90,101,76,121,104,126,39,0,0,0
2011-04,300,63,61,63,59,68,65,78,22,0,0,0,0
2011-05,284,54,49,49,59,66,75,27,0,0,0,0,0
2011-06,242,42,38,64,56,80,23,0,0,0,0,0,0
2011-07,187,33,38,42,51,21,0,0,0,0,0,0,0
2011-08,169,34,41,41,21,0,0,0,0,0,0,0,0
2011-09,299,70,90,34,0,0,0,0,0,0,0,0,0
2011-10,357,84,41,0,0,0,0,0,0,0,0,0,0
2011-11,324,36,0,0,0,0,0,0,0,0,0,0,0
2011-12,41,0,0,0,0,0,0,0,0,0,0,0,0
